Name,SMILES,Flavor type,Data resource
CID 18255696,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)CS)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20002733,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)O)C(C)C,Sweet,FlavorDB
CID 20002717,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20002716,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 20002719,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20002720,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)O,Sweet,FlavorDB
CID 20002725,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,Sweet,FlavorDB
CID 20002727,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20002721,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)NCC(=O)O,Sweet,FlavorDB
CID 18223116,CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20009118,CC(NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(N)Cc1ccccc1)C(C)C)C(=O)O,Sweet,FlavorDB
CID 20010664,CC(NC(=O)C(CC(=O)O)NC(=O)C1CCCN1)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18485949,CC(NC(=O)C(CC(=O)O)NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20004364,CC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
3-{[(4-cyanophenyl)carbamoyl]amino}-3-({1-[(dicyclopropylmethyl)carbamoyl]ethyl}carbamoyl)propanoic acid,CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,Sweet,ChemTasteDB
3-{[(4-cyanophenyl)carbamoyl]amino}-3-[(1-phenylethyl)carbamoyl]propanoic acid,CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)c1ccccc1,Sweet,ChemTasteDB
3-{[(4-cyanophenyl)carbamothioyl]amino}-3-({1-[(dicyclopropylmethyl)carbamoyl]ethyl}carbamoyl)propanoic acid,CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,Sweet,ChemTasteDB
3-{[(4-cyanophenyl)carbamothioyl]amino}-3-[(1-phenylethyl)carbamoyl]propanoic acid,CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)c1ccccc1,Sweet,ChemTasteDB
CID 20002754,CC(NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18251730,CC(NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20047672,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18247316,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22652888,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22701381,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18303118,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20018222,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)CO)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20002317,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20002316,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 20002325,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,Sweet,FlavorDB
CID 20002327,CC(NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18485550,CC(NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 21519847,CC(NC(=O)C(CC(N)=O)NC(=O)OC(C)(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18248513,CC(NC(=O)C(CCC(=O)O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20002834,CC(NC(=O)C(CCC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18251810,CC(NC(=O)C(CCC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18248912,CC(NC(=O)C(CCC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22654486,CC(NC(=O)C(CCC(N)=O)NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18487140,CC(NC(=O)C(CCC(N)=O)NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20002934,CC(NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 16101298,CC(NC(=O)C(CCCCN)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NCC(=O)O,Sweet,FlavorDB
CID 18251910,CC(NC(=O)C(CCCCN)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18250907,CC(NC(=O)C(CCCCN)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 44187475,CC(NC(=O)C(CCCCN)NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20005892,CC(NC(=O)C(CCCCN)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20005891,CC(NC(=O)C(CCCCN)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 16101322,CC(NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18489085,CC(NC(=O)C(CCCCN)NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246918,CC(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20003014,CC(NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18251989,CC(NC(=O)C(CO)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18252502,CC(NC(=O)C(CO)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22658074,CC(NC(=O)C(CO)NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20007464,CC(NC(=O)C(CO)NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18248114,CC(NC(=O)C(CS)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246766,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20048317,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)C(C)C)C(=O)O,Sweet,FlavorDB
CID 18247962,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 22653535,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18478225,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CCC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18303759,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CCCCN)C(=O)O,Sweet,FlavorDB
CID 20018867,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CO)C(=O)O,Sweet,FlavorDB
CID 20010911,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C1CCCN1)C(=O)O,Sweet,FlavorDB
CID 18486196,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CN)C(=O)O,Sweet,FlavorDB
CID 10168936,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 10122770,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 10122769,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 10190220,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18247563,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18249159,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18251152,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CCCCN)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18252749,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CO)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18251950,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20052037,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20052036,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18251709,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)O)C(C)C,Sweet,FlavorDB
CID 18251693,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18251692,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18251695,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18251696,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18251701,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CCCCN)C(=O)O,Sweet,FlavorDB
CID 18251703,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18251697,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NCC(=O)O,Sweet,FlavorDB
CID 18219610,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 22657267,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 22657278,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18481957,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18307453,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCCN)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18307452,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCCN)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18742304,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CO)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18254346,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,Sweet,FlavorDB
Achatin II,CC(NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18489861,CC(NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 10210353,CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 10231877,CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18249557,CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20046935,CC(NC(=O)C(N)C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20046915,CC(NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 20047123,CC(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 20047122,CC(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18232225,CC(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
L-Val-L-Ala,CC(NC(=O)C(N)C(C)C)C(=O)O,Bitter,ChemTasteDB
CID 18745170,CC(NC(=O)C(N)C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246799,CC(NC(=O)C(N)CC(=O)O)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246898,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,Sweet,FlavorDB
CID 18246838,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)O,Sweet,FlavorDB
"3-Amino-3-({1-[(2,2,3,4,4-pentamethylpentan-3-yl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)(C)C)C(C)(C)C,Sweet,ChemTasteDB
"3-Amino-3-({1-[(2,3,4-trimethylpentan-3-yl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)C)C(C)C,Sweet,ChemTasteDB
3-Amino-3-({1-[(2-cyclopropylpropan-2-yl)carbamoyl]ethyl}carbamoyl)propanoic acid,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C)C1CC1,Sweet,ChemTasteDB
"3-Amino-3-({1-[(2-cyclopropyl-3,3-dimethylbutan-2-yl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C(C)(C)C,Sweet,ChemTasteDB
"3-Amino-3-({1-[(1,1-dicyclopropylethyl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C1CC1,Sweet,ChemTasteDB
CID 18246520,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246580,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
AM026053,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246560,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246620,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246640,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246739,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246540,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246819,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246600,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246785,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)C,Sweet,FlavorDB
CID 18246769,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18246768,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18246771,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)O,Sweet,FlavorDB
CID 18246772,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)O,Sweet,FlavorDB
CID 18246777,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,Sweet,FlavorDB
CID 18246779,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18246773,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O,Sweet,FlavorDB
CID 18219374,CC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
"3-Amino-3-({1-[(3-hydroxy-2,2,4,4-tetramethylcyclobutyl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)C(O)C1(C)C,Sweet,ChemTasteDB
"3-Amino-3-({1-[(2,2,4,4-tetramethylcyclobutyl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CC1(C)C,Sweet,ChemTasteDB
L-Aspartyl-L-alanyl tetramethylcyclopentyl,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CCC1(C)C,"Bitter, Sweet",ChemTasteDB
"3-Amino-3-({1-[(2,2,6,6-tetramethylcyclohexyl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CCCC1(C)C,Sweet,ChemTasteDB
"3-Amino-3-({1-[(2,2,4,4-tetramethyl-1,1-dioxo-1lambda6-thietan-3-yl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)(=O)C1(C)C,Sweet,ChemTasteDB
"3-Amino-3-({1-[(2,2,4,4-tetramethyl-1-oxo-1lambda4-thietan-3-yl)carbamoyl]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)C1(C)C,Sweet,ChemTasteDB
Alitame,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,"Bitter, Sweet","ChemTasteDB, BitterDB, FlavorDB"
3-Amino-4-[[1-(cyclopentylamino)-1-oxopropan-2-yl]amino]-4-oxobutanoic acid,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1CCCC1,Sweet,ChemTasteDB
3-Amino-3-{[1-(cyclohexylcarbamoyl)ethyl]carbamoyl}propanoic acid,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1CCCCC1,Sweet,ChemTasteDB
CID 18246660,CC(NC(=O)C(N)CC(=O)O)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
3-Amino-3-[(1-hydroxy-1-phenylpropan-2-yl)carbamoyl]propanoic acid,CC(NC(=O)C(N)CC(=O)O)C(O)c1ccccc1,Sweet,ChemTasteDB
"3-Amino-3-{[1-(2,2-dimethylpropanamido)ethyl]carbamoyl}propanoic acid",CC(NC(=O)C(N)CC(=O)O)NC(=O)C(C)(C)C,Sweet,"BitterSweet, ChemTasteDB"
"3-Amino-3-{[1-(2,2-dicyclopropylacetamido)ethyl]carbamoyl}propanoic acid",CC(NC(=O)C(N)CC(=O)O)NC(=O)C(C1CC1)C1CC1,Sweet,"BitterSweet, ChemTasteDB"
3-({1-[(adamantan-1-yl)formamido]ethyl}carbamoyl)-3-aminopropanoic acid,CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,Sweet,"BitterSweet, ChemTasteDB"
L-(S)-retro-inverso analogue of aspartyl-alanyl tetramethylcyclopentyl,CC(NC(=O)C(N)CC(=O)O)NC(=O)C1C(C)(C)CCC1(C)C,Sweet,"BitterSweet, ChemTasteDB"
"3-Amino-3-({1-[(2,6-dimethylcyclohexyl)formamido]ethyl}carbamoyl)propanoic acid",CC(NC(=O)C(N)CC(=O)O)NC(=O)C1C(C)CCCC1C,Sweet,"BitterSweet, ChemTasteDB"
3-Amino-3-{[1-({bicyclo[2.2.1]heptan-2-yl}formamido)ethyl]carbamoyl}propanoic acid,CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CC2CCC1C2,Sweet,"BitterSweet, ChemTasteDB"
3-Amino-3-{[1-(cyclopentylformamido)ethyl]carbamoyl}propanoic acid,CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CCCC1,Sweet,"BitterSweet, ChemTasteDB"
3-Amino-3-{[1-(cyclohexylformamido)ethyl]carbamoyl}propanoic acid,CC(NC(=O)C(N)CC(=O)O)NC(=O)C1CCCCC1,Sweet,"BitterSweet, ChemTasteDB"
CID 22652469,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,Sweet,FlavorDB
CID 22652094,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22652134,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22652310,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22652389,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22652340,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,Sweet,FlavorDB
CID 22652348,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,Sweet,FlavorDB
CID 22652350,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 25183212,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 15594139,CC(NC(=O)C(N)CC(N)=O)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18262533,CC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22700642,CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22700622,CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 18220512,CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
CID 22700722,CC(NC(=O)C(N)CCC(N)=O)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,Sweet,FlavorDB
